,START_rounded_CET,STOP_rounded_CET_lim,VOL,P_MAX,PHASE
22,2022-04-22 16:45:00+02:00,2022-04-23 02:45:00+02:00,56.0,17.280000686645508,3
23,2022-04-23 23:30:00+02:00,2022-04-24 09:30:00+02:00,29.6,6.665999889373779,1
24,2022-04-27 19:45:00+02:00,2022-04-28 05:45:00+02:00,1.4,3.539999961853028,1
25,2022-04-29 19:00:00+02:00,2022-04-30 05:00:00+02:00,33.9,8.460000038146973,3
26,2022-05-02 17:45:00+02:00,2022-05-03 03:45:00+02:00,7.8,3.7799999713897705,1
27,2022-05-08 20:45:00+02:00,2022-05-09 06:45:00+02:00,32.9,10.31999969482422,3
28,2022-05-12 10:15:00+02:00,2022-05-12 13:30:00+02:00,3.0,13.199999809265137,3
29,2022-05-14 10:30:00+02:00,2022-05-14 16:00:00+02:00,8.1,3.5460000038146973,1
30,2022-05-19 16:45:00+02:00,2022-05-20 02:45:00+02:00,46.2,10.145999908447266,3
31,2022-05-22 16:45:00+02:00,2022-05-23 02:45:00+02:00,36.8,6.119999885559082,1
32,2022-05-24 19:30:00+02:00,2022-05-25 05:30:00+02:00,61.8,11.100000381469728,3
33,2022-05-29 21:15:00+02:00,2022-05-30 07:15:00+02:00,4.6,3.233999967575073,1
34,2022-06-01 18:00:00+02:00,2022-06-02 04:00:00+02:00,4.5,3.7200000286102295,1
35,2022-06-05 15:15:00+02:00,2022-06-06 01:15:00+02:00,1.7,6.239999771118164,1
36,2022-06-15 07:30:00+02:00,2022-06-15 17:30:00+02:00,8.9,10.619999885559082,3
37,2022-06-18 15:15:00+02:00,2022-06-18 19:00:00+02:00,17.2,11.460000038146973,3
38,2022-06-19 16:15:00+02:00,2022-06-20 02:15:00+02:00,62.7,10.920000076293944,3
39,2022-06-22 22:30:00+02:00,2022-06-23 08:00:00+02:00,11.1,3.6659998893737793,1
40,2022-06-23 08:00:00+02:00,2022-06-23 12:00:00+02:00,11.9,7.260000228881836,1
41,2022-06-24 22:30:00+02:00,2022-06-25 08:30:00+02:00,86.3,17.34000015258789,3
42,2022-06-26 15:00:00+02:00,2022-06-27 01:00:00+02:00,24.4,11.34000015258789,3
43,2022-06-29 17:15:00+02:00,2022-06-30 03:15:00+02:00,8.8,16.860000610351562,3
44,2022-07-02 19:00:00+02:00,2022-07-03 05:00:00+02:00,38.0,16.073999404907227,3
45,2022-07-02 23:30:00+02:00,2022-07-03 09:30:00+02:00,20.1,11.279999732971191,3
46,2022-07-04 19:15:00+02:00,2022-07-05 05:15:00+02:00,11.0,3.5999999046325684,1
47,2022-07-11 19:30:00+02:00,2022-07-12 05:30:00+02:00,20.0,4.320000171661377,1
48,2022-07-11 22:45:00+02:00,2022-07-12 08:15:00+02:00,46.3,10.805999755859377,3
49,2022-07-15 23:15:00+02:00,2022-07-16 09:15:00+02:00,17.4,3.8519999980926514,1
50,2022-07-16 22:45:00+02:00,2022-07-17 08:45:00+02:00,25.0,3.5460000038146973,1
51,2022-07-22 13:30:00+02:00,2022-07-22 18:30:00+02:00,8.7,3.7799999713897705,1
52,2022-07-24 23:15:00+02:00,2022-07-25 09:15:00+02:00,42.8,11.520000457763672,3
53,2022-07-28 09:30:00+02:00,2022-07-28 17:00:00+02:00,8.1,3.240000009536743,1
54,2022-08-01 19:00:00+02:00,2022-08-02 05:00:00+02:00,45.9,7.199999809265137,1
55,2022-08-01 21:00:00+02:00,2022-08-02 07:00:00+02:00,34.6,11.15999984741211,3
56,2022-08-04 20:45:00+02:00,2022-08-05 06:45:00+02:00,36.3,7.565999984741211,3
57,2022-08-06 18:45:00+02:00,2022-08-07 04:45:00+02:00,11.2,11.34000015258789,3
58,2022-08-11 19:15:00+02:00,2022-08-12 05:15:00+02:00,32.6,10.859999656677246,3
59,2022-08-12 13:45:00+02:00,2022-08-12 17:00:00+02:00,13.4,11.460000038146973,3
60,2022-08-12 18:30:00+02:00,2022-08-13 04:30:00+02:00,17.6,11.399999618530272,3
61,2022-08-20 20:15:00+02:00,2022-08-21 06:15:00+02:00,22.5,9.84000015258789,3
62,2022-08-31 21:45:00+02:00,2022-09-01 07:45:00+02:00,43.2,10.446000099182127,3
63,2022-09-01 23:15:00+02:00,2022-09-02 09:15:00+02:00,27.4,11.100000381469728,3
64,2022-09-04 15:30:00+02:00,2022-09-05 01:30:00+02:00,43.7,10.68000030517578,3
65,2022-09-10 16:45:00+02:00,2022-09-11 02:45:00+02:00,7.8,3.180000066757202,1
66,2022-09-11 18:15:00+02:00,2022-09-12 04:15:00+02:00,6.2,3.539999961853028,1
67,2022-09-12 16:45:00+02:00,2022-09-13 02:45:00+02:00,36.5,10.199999809265137,3
68,2022-09-13 20:30:00+02:00,2022-09-14 06:30:00+02:00,28.2,11.039999961853027,3
69,2022-09-17 00:30:00+02:00,2022-09-17 09:30:00+02:00,35.8,11.039999961853027,3
70,2022-09-17 15:30:00+02:00,2022-09-17 21:00:00+02:00,29.4,11.093999862670898,3
71,2022-09-17 17:30:00+02:00,2022-09-18 03:30:00+02:00,51.4,10.380000114440918,3
72,2022-09-22 22:00:00+02:00,2022-09-23 07:45:00+02:00,30.8,7.380000114440918,1
73,2022-09-22 23:15:00+02:00,2022-09-23 06:45:00+02:00,22.7,10.4399995803833,3
74,2022-09-25 11:00:00+02:00,2022-09-25 21:00:00+02:00,7.3,3.5999999046325684,1
75,2022-09-28 17:00:00+02:00,2022-09-29 03:00:00+02:00,18.9,2.2799999713897705,1
76,2022-10-02 17:00:00+02:00,2022-10-03 03:00:00+02:00,5.1,3.539999961853028,1
77,2022-10-09 18:30:00+02:00,2022-10-10 04:30:00+02:00,49.4,11.220000267028809,3
78,2022-10-10 12:30:00+02:00,2022-10-10 19:30:00+02:00,6.1,3.6659998893737793,1
79,2022-10-11 07:00:00+02:00,2022-10-11 11:15:00+02:00,0.3,3.2939999103546143,1
80,2022-10-19 18:45:00+02:00,2022-10-20 04:45:00+02:00,13.2,10.805999755859377,3
81,2022-10-19 22:15:00+02:00,2022-10-20 05:30:00+02:00,9.5,3.594000101089477,1
82,2022-10-30 16:00:00+01:00,2022-10-31 02:00:00+01:00,30.4,5.645999908447266,1
83,2022-11-02 03:45:00+01:00,2022-11-02 13:45:00+01:00,4.0,3.539999961853028,1
84,2022-11-04 16:30:00+01:00,2022-11-04 21:30:00+01:00,22.1,10.4399995803833,3
85,2022-11-07 12:45:00+01:00,2022-11-07 21:45:00+01:00,3.4,3.486000061035156,1
86,2022-11-18 15:45:00+01:00,2022-11-19 01:45:00+01:00,5.2,3.359999895095825,1
87,2022-11-18 15:45:00+01:00,2022-11-19 01:45:00+01:00,40.5,10.68000030517578,3
88,2022-11-20 13:00:00+01:00,2022-11-20 23:00:00+01:00,50.3,10.920000076293944,3
89,2022-11-22 18:00:00+01:00,2022-11-23 04:00:00+01:00,3.3,3.7200000286102295,1
90,2022-11-24 14:45:00+01:00,2022-11-24 18:30:00+01:00,10.9,11.100000381469728,3
91,2022-11-26 21:00:00+01:00,2022-11-27 07:00:00+01:00,29.5,11.15999984741211,3
92,2022-11-30 20:15:00+01:00,2022-12-01 06:15:00+01:00,30.1,10.673999786376951,3
93,2022-12-01 08:30:00+01:00,2022-12-01 17:15:00+01:00,10.4,5.880000114440918,1
94,2022-12-05 19:15:00+01:00,2022-12-06 05:15:00+01:00,50.5,11.34000015258789,3
95,2022-12-05 20:15:00+01:00,2022-12-06 06:15:00+01:00,28.7,11.399999618530272,3
96,2022-12-10 00:30:00+01:00,2022-12-10 09:15:00+01:00,40.7,11.406000137329102,3
97,2022-12-11 16:45:00+01:00,2022-12-12 02:45:00+01:00,21.8,10.925999641418455,3
98,2022-12-21 08:45:00+01:00,2022-12-21 12:30:00+01:00,12.9,7.199999809265137,1
99,2022-12-22 15:15:00+01:00,2022-12-23 01:15:00+01:00,28.8,5.760000228881836,1
