,Day-ahead price [EUR/MWh],datetime
2021-10-06 13:00:00+02:00,193.43,2021-10-06 13:00:00+02:00
2021-10-06 14:00:00+02:00,194.2,2021-10-06 14:00:00+02:00
2021-10-06 15:00:00+02:00,195.13,2021-10-06 15:00:00+02:00
2021-10-06 16:00:00+02:00,214.07,2021-10-06 16:00:00+02:00
2021-10-06 17:00:00+02:00,248.49,2021-10-06 17:00:00+02:00
2021-10-06 18:00:00+02:00,252.2,2021-10-06 18:00:00+02:00
2021-10-06 19:00:00+02:00,290.97,2021-10-06 19:00:00+02:00
2021-10-06 20:00:00+02:00,260.0,2021-10-06 20:00:00+02:00
2021-10-06 21:00:00+02:00,244.98,2021-10-06 21:00:00+02:00
2021-10-06 22:00:00+02:00,220.19,2021-10-06 22:00:00+02:00
2021-10-06 23:00:00+02:00,205.7,2021-10-06 23:00:00+02:00
2021-10-07 00:00:00+02:00,261.0,2021-10-07 00:00:00+02:00
2021-10-07 01:00:00+02:00,252.86,2021-10-07 01:00:00+02:00
2021-10-07 02:00:00+02:00,250.0,2021-10-07 02:00:00+02:00
2021-10-07 03:00:00+02:00,236.86,2021-10-07 03:00:00+02:00
2021-10-07 04:00:00+02:00,241.88,2021-10-07 04:00:00+02:00
2021-10-07 05:00:00+02:00,264.31,2021-10-07 05:00:00+02:00
2021-10-07 06:00:00+02:00,310.05,2021-10-07 06:00:00+02:00
2021-10-07 07:00:00+02:00,356.09,2021-10-07 07:00:00+02:00
2021-10-07 08:00:00+02:00,393.1,2021-10-07 08:00:00+02:00
2021-10-07 09:00:00+02:00,352.55,2021-10-07 09:00:00+02:00
2021-10-07 10:00:00+02:00,300.0,2021-10-07 10:00:00+02:00
2021-10-07 11:00:00+02:00,299.92,2021-10-07 11:00:00+02:00
2021-10-07 12:00:00+02:00,296.41,2021-10-07 12:00:00+02:00
2021-10-07 13:00:00+02:00,287.0,2021-10-07 13:00:00+02:00
2021-10-07 14:00:00+02:00,280.02,2021-10-07 14:00:00+02:00
2021-10-07 15:00:00+02:00,280.0,2021-10-07 15:00:00+02:00
2021-10-07 16:00:00+02:00,298.94,2021-10-07 16:00:00+02:00
2021-10-07 17:00:00+02:00,317.8,2021-10-07 17:00:00+02:00
2021-10-07 18:00:00+02:00,350.52,2021-10-07 18:00:00+02:00
2021-10-07 19:00:00+02:00,442.9,2021-10-07 19:00:00+02:00
2021-10-07 20:00:00+02:00,319.03,2021-10-07 20:00:00+02:00
2021-10-07 21:00:00+02:00,300.0,2021-10-07 21:00:00+02:00
2021-10-07 22:00:00+02:00,298.91,2021-10-07 22:00:00+02:00
2021-10-07 23:00:00+02:00,270.7,2021-10-07 23:00:00+02:00
2021-10-08 00:00:00+02:00,176.61,2021-10-08 00:00:00+02:00
2021-10-08 01:00:00+02:00,167.36,2021-10-08 01:00:00+02:00
2021-10-08 02:00:00+02:00,164.35,2021-10-08 02:00:00+02:00
2021-10-08 03:00:00+02:00,160.08,2021-10-08 03:00:00+02:00
2021-10-08 04:00:00+02:00,162.74,2021-10-08 04:00:00+02:00
2021-10-08 05:00:00+02:00,174.12,2021-10-08 05:00:00+02:00
2021-10-08 06:00:00+02:00,233.46,2021-10-08 06:00:00+02:00
2021-10-08 07:00:00+02:00,269.4,2021-10-08 07:00:00+02:00
2021-10-08 08:00:00+02:00,291.42,2021-10-08 08:00:00+02:00
2021-10-08 09:00:00+02:00,260.0,2021-10-08 09:00:00+02:00
2021-10-08 10:00:00+02:00,230.24,2021-10-08 10:00:00+02:00
2021-10-08 11:00:00+02:00,211.32,2021-10-08 11:00:00+02:00
2021-10-08 12:00:00+02:00,192.6,2021-10-08 12:00:00+02:00
2021-10-08 13:00:00+02:00,169.6,2021-10-08 13:00:00+02:00
2021-10-08 14:00:00+02:00,160.5,2021-10-08 14:00:00+02:00
2021-10-08 15:00:00+02:00,164.72,2021-10-08 15:00:00+02:00
2021-10-08 16:00:00+02:00,192.3,2021-10-08 16:00:00+02:00
2021-10-08 17:00:00+02:00,229.94,2021-10-08 17:00:00+02:00
2021-10-08 18:00:00+02:00,253.16,2021-10-08 18:00:00+02:00
2021-10-08 19:00:00+02:00,269.7,2021-10-08 19:00:00+02:00
2021-10-08 20:00:00+02:00,235.67,2021-10-08 20:00:00+02:00
2021-10-08 21:00:00+02:00,194.21,2021-10-08 21:00:00+02:00
2021-10-08 22:00:00+02:00,181.2,2021-10-08 22:00:00+02:00
2021-10-08 23:00:00+02:00,150.0,2021-10-08 23:00:00+02:00
2021-10-09 00:00:00+02:00,163.59,2021-10-09 00:00:00+02:00
2021-10-09 01:00:00+02:00,151.72,2021-10-09 01:00:00+02:00
2021-10-09 02:00:00+02:00,149.84,2021-10-09 02:00:00+02:00
2021-10-09 03:00:00+02:00,141.21,2021-10-09 03:00:00+02:00
2021-10-09 04:00:00+02:00,140.0,2021-10-09 04:00:00+02:00
2021-10-09 05:00:00+02:00,142.29,2021-10-09 05:00:00+02:00
2021-10-09 06:00:00+02:00,151.85,2021-10-09 06:00:00+02:00
2021-10-09 07:00:00+02:00,186.34,2021-10-09 07:00:00+02:00
2021-10-09 08:00:00+02:00,196.14,2021-10-09 08:00:00+02:00
2021-10-09 09:00:00+02:00,189.72,2021-10-09 09:00:00+02:00
2021-10-09 10:00:00+02:00,168.14,2021-10-09 10:00:00+02:00
2021-10-09 11:00:00+02:00,124.0,2021-10-09 11:00:00+02:00
2021-10-09 12:00:00+02:00,100.0,2021-10-09 12:00:00+02:00
2021-10-09 13:00:00+02:00,83.68,2021-10-09 13:00:00+02:00
2021-10-09 14:00:00+02:00,80.1,2021-10-09 14:00:00+02:00
2021-10-09 15:00:00+02:00,93.82,2021-10-09 15:00:00+02:00
2021-10-09 16:00:00+02:00,137.52,2021-10-09 16:00:00+02:00
2021-10-09 17:00:00+02:00,200.0,2021-10-09 17:00:00+02:00
2021-10-09 18:00:00+02:00,229.2,2021-10-09 18:00:00+02:00
2021-10-09 19:00:00+02:00,248.45,2021-10-09 19:00:00+02:00
2021-10-09 20:00:00+02:00,250.0,2021-10-09 20:00:00+02:00
2021-10-09 21:00:00+02:00,209.9,2021-10-09 21:00:00+02:00
2021-10-09 22:00:00+02:00,213.4,2021-10-09 22:00:00+02:00
2021-10-09 23:00:00+02:00,229.9,2021-10-09 23:00:00+02:00
2021-10-10 00:00:00+02:00,144.94,2021-10-10 00:00:00+02:00
2021-10-10 01:00:00+02:00,132.2,2021-10-10 01:00:00+02:00
2021-10-10 02:00:00+02:00,122.24,2021-10-10 02:00:00+02:00
2021-10-10 03:00:00+02:00,119.41,2021-10-10 03:00:00+02:00
2021-10-10 04:00:00+02:00,118.88,2021-10-10 04:00:00+02:00
2021-10-10 05:00:00+02:00,120.88,2021-10-10 05:00:00+02:00
2021-10-10 06:00:00+02:00,140.5,2021-10-10 06:00:00+02:00
2021-10-10 07:00:00+02:00,163.99,2021-10-10 07:00:00+02:00
2021-10-10 08:00:00+02:00,169.11,2021-10-10 08:00:00+02:00
2021-10-10 09:00:00+02:00,159.99,2021-10-10 09:00:00+02:00
2021-10-10 10:00:00+02:00,146.48,2021-10-10 10:00:00+02:00
2021-10-10 11:00:00+02:00,125.88,2021-10-10 11:00:00+02:00
2021-10-10 12:00:00+02:00,110.0,2021-10-10 12:00:00+02:00
2021-10-10 13:00:00+02:00,89.25,2021-10-10 13:00:00+02:00
2021-10-10 14:00:00+02:00,71.1,2021-10-10 14:00:00+02:00
2021-10-10 15:00:00+02:00,91.56,2021-10-10 15:00:00+02:00
2021-10-10 16:00:00+02:00,124.67,2021-10-10 16:00:00+02:00
2021-10-10 17:00:00+02:00,165.29,2021-10-10 17:00:00+02:00
2021-10-10 18:00:00+02:00,216.06,2021-10-10 18:00:00+02:00
2021-10-10 19:00:00+02:00,240.57,2021-10-10 19:00:00+02:00
2021-10-10 20:00:00+02:00,221.7,2021-10-10 20:00:00+02:00
2021-10-10 21:00:00+02:00,195.0,2021-10-10 21:00:00+02:00
2021-10-10 22:00:00+02:00,179.72,2021-10-10 22:00:00+02:00
2021-10-10 23:00:00+02:00,159.16,2021-10-10 23:00:00+02:00
2021-10-11 00:00:00+02:00,149.14,2021-10-11 00:00:00+02:00
2021-10-11 01:00:00+02:00,141.51,2021-10-11 01:00:00+02:00
2021-10-11 02:00:00+02:00,123.55,2021-10-11 02:00:00+02:00
2021-10-11 03:00:00+02:00,113.68,2021-10-11 03:00:00+02:00
2021-10-11 04:00:00+02:00,118.6,2021-10-11 04:00:00+02:00
2021-10-11 05:00:00+02:00,146.16,2021-10-11 05:00:00+02:00
2021-10-11 06:00:00+02:00,200.0,2021-10-11 06:00:00+02:00
2021-10-11 07:00:00+02:00,252.46,2021-10-11 07:00:00+02:00
2021-10-11 08:00:00+02:00,260.02,2021-10-11 08:00:00+02:00
2021-10-11 09:00:00+02:00,237.02,2021-10-11 09:00:00+02:00
2021-10-11 10:00:00+02:00,213.94,2021-10-11 10:00:00+02:00
2021-10-11 11:00:00+02:00,181.0,2021-10-11 11:00:00+02:00
2021-10-11 12:00:00+02:00,158.5,2021-10-11 12:00:00+02:00
2021-10-11 13:00:00+02:00,140.0,2021-10-11 13:00:00+02:00
2021-10-11 14:00:00+02:00,130.0,2021-10-11 14:00:00+02:00
2021-10-11 15:00:00+02:00,149.8,2021-10-11 15:00:00+02:00
2021-10-11 16:00:00+02:00,145.07,2021-10-11 16:00:00+02:00
2021-10-11 17:00:00+02:00,192.13,2021-10-11 17:00:00+02:00
2021-10-11 18:00:00+02:00,228.11,2021-10-11 18:00:00+02:00
2021-10-11 19:00:00+02:00,240.57,2021-10-11 19:00:00+02:00
2021-10-11 20:00:00+02:00,229.24,2021-10-11 20:00:00+02:00
2021-10-11 21:00:00+02:00,181.0,2021-10-11 21:00:00+02:00
2021-10-11 22:00:00+02:00,190.0,2021-10-11 22:00:00+02:00
2021-10-11 23:00:00+02:00,186.0,2021-10-11 23:00:00+02:00
2021-10-12 00:00:00+02:00,197.59,2021-10-12 00:00:00+02:00
2021-10-12 01:00:00+02:00,185.9,2021-10-12 01:00:00+02:00
2021-10-12 02:00:00+02:00,164.13,2021-10-12 02:00:00+02:00
2021-10-12 03:00:00+02:00,118.7,2021-10-12 03:00:00+02:00
2021-10-12 04:00:00+02:00,103.02,2021-10-12 04:00:00+02:00
2021-10-12 05:00:00+02:00,155.0,2021-10-12 05:00:00+02:00
2021-10-12 06:00:00+02:00,143.0,2021-10-12 06:00:00+02:00
2021-10-12 07:00:00+02:00,209.66,2021-10-12 07:00:00+02:00
2021-10-12 08:00:00+02:00,236.21,2021-10-12 08:00:00+02:00
2021-10-12 09:00:00+02:00,237.91,2021-10-12 09:00:00+02:00
2021-10-12 10:00:00+02:00,220.0,2021-10-12 10:00:00+02:00
2021-10-12 11:00:00+02:00,208.94,2021-10-12 11:00:00+02:00
2021-10-12 12:00:00+02:00,184.59,2021-10-12 12:00:00+02:00
2021-10-12 13:00:00+02:00,151.24,2021-10-12 13:00:00+02:00
2021-10-12 14:00:00+02:00,139.95,2021-10-12 14:00:00+02:00
2021-10-12 15:00:00+02:00,139.44,2021-10-12 15:00:00+02:00
2021-10-12 16:00:00+02:00,149.36,2021-10-12 16:00:00+02:00
2021-10-12 17:00:00+02:00,200.0,2021-10-12 17:00:00+02:00
2021-10-12 18:00:00+02:00,235.44,2021-10-12 18:00:00+02:00
2021-10-12 19:00:00+02:00,248.08,2021-10-12 19:00:00+02:00
